electrolyte_name,mol_molar_mass,mol_is_organic,mol_is_acid,mol_ionic_species,mol_solubility,cat_molar_mass,cat_charge,cat_valence_e,cat_hydrated_r,cat_ionic_r,cat_hydration_num,cat_hydration_h,cat_hsab,cat_atomic_num,cat_pt_group,cat_pt_period,cat_is_polyatomic,cat_electroneg,cat_ionization_e,cat_molar_mass_2,an_charge,an_valence_e_neutral,an_ionic_r,an_hydration_num,an_hsab,an_is_polyatomic
ZnBr2,225.2,0.0,0.0,3.0,447.0,65.38,2.0,12.0,0.43,74.0,6.0,-2047.0,1.0,30.0,12.0,4.0,0.0,1.64,9.39,319.62,-2.0,16.0,196.0,3.0,0.0,1.0
ZnI2,319.22,0.0,0.0,3.0,432.0,65.38,2.0,12.0,0.43,74.0,6.0,-2047.0,1.0,30.0,12.0,4.0,0.0,1.64,9.39,253.8,-2.0,16.0,220.0,2.0,0.0,1.0
CdClO4,311.32,0.0,0.0,3.0,188.0,112.41,2.0,12.0,0.426,95.0,6.0,-1809.0,0.0,48.0,12.0,5.0,0.0,1.69,8.99,99.45,-1.0,32.0,250.0,4.325,0.0,1.0
NiCl2,129.6,0.0,0.0,3.0,213.5,58.69,2.0,10.0,0.404,69.0,6.0,-2100.0,1.0,28.0,10.0,4.0,0.0,1.91,7.639,70.906,-2.0,14.0,189.6341463414634,4.325,0.0,1.0
CoCl2,129.84,0.0,0.0,3.0,52.9,58.933,2.0,9.0,0.423,74.0,6.0,-2010.0,0.5,27.0,9.0,4.0,0.0,1.88,7.88,70.906,-2.0,14.0,189.6341463414634,4.325,0.0,1.0
CoBr2,218.74,0.0,0.0,3.0,67.0,58.933,2.0,9.0,0.423,74.0,6.0,-2010.0,0.5,27.0,9.0,4.0,0.0,1.88,7.88,319.62,-2.0,16.0,196.0,3.0,0.0,1.0
NH4Br,97.94,0.0,0.0,2.0,78.3,14.039,1.0,8.0,0.331,148.0,6.0,-322.0,0.5,7.0,15.0,2.0,1.0,1.259387755102041,10.4,79.9,-1.0,7.0,196.0,6.0,0.5,0.0
NH4I,144.94,0.0,0.0,2.0,178.0,14.039,1.0,8.0,0.331,148.0,6.0,-322.0,0.5,7.0,15.0,2.0,1.0,1.259387755102041,10.4,126.9,-1.0,7.0,220.0,6.0,0.0,0.0
NH4ClO4,117.49,0.0,0.0,2.0,24.5,14.039,1.0,8.0,0.331,148.0,6.0,-322.0,0.5,7.0,15.0,2.0,1.0,1.259387755102041,10.4,99.45,-1.0,32.0,250.0,4.325,0.0,1.0
NH4NO3,80.04,0.0,0.0,2.0,213.0,14.039,1.0,8.0,0.331,148.0,6.0,-322.0,0.5,7.0,15.0,2.0,1.0,1.259387755102041,10.4,62.0,-1.0,24.0,130.0,5.0,0.0,1.0
TlNO2,250.39,0.0,0.0,2.0,20.0,204.38,1.0,2.0,0.144,150.0,6.0,-320.0,0.0,81.0,13.0,6.0,0.0,1.62,6.11,46.0055,0.0,17.0,189.6341463414634,3.0,0.5,1.0
