molecule,cation,anion,anion_1_charge,anion_1_delta_G_formation,anion_1_delta_G_hydration,anion_1_diffusion_coefficient,anion_1_molecular_weight,anion_1_n_atoms,anion_1_n_elements,anion_1_radius_hydrated,anion_1_radius_ionic,anion_1_radius_vdw,anion_1_viscosity_jones_dole,cation_1_charge,cation_1_delta_G_formation,cation_1_delta_G_hydration,cation_1_diffusion_coefficient,cation_1_molecular_weight,cation_1_n_atoms,cation_1_n_elements,cation_1_radius_hydrated,cation_1_radius_ionic,cation_1_radius_vdw,cation_1_viscosity_jones_dole,molecule_formula,molecule_molecular_weight,molecule_n_atoms,molecule_n_elements,molecule_radius_vdw,pitzer_Beta0,pitzer_Beta1
Sr(NO3)2(aq),Sr^+2,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,2.0,0.0,-1468.0,7.91e-06,87.62,1.0,1.0,4.12,1.32,2.49,0.261,3.0,211.6298,9.0,3.0,2.49,0.1022,1.54
SrBr2(aq),Sr^+2,Br^-1,-1.0,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.82,1.85,-0.033,2.0,0.0,-1468.0,7.91e-06,87.62,1.0,1.0,4.12,1.32,2.49,0.261,2.0,247.428,3.0,2.0,2.49,0.32,1.846
SrCl2(aq),Sr^+2,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,2.0,0.0,-1468.0,7.91e-06,87.62,1.0,1.0,4.12,1.32,2.49,0.261,2.0,158.526,3.0,2.0,2.49,0.2841,1.543
SrI2(aq),Sr^+2,I^-1,-1.0,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,2.06,1.98,-0.073,2.0,0.0,-1468.0,7.91e-06,87.62,1.0,1.0,4.12,1.32,2.49,0.261,2.0,341.42894,3.0,2.0,2.49,0.3889,2.001
Th(NO3)4(aq),Th^+4,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,4.0,0.0,-6028.0,1.334e-05,232.03806,1.0,1.0,3.58,1.08,2.45,0.852,3.0,480.05766,17.0,3.0,2.45,0.8219,17.68
Tl(ClO4)3(aq),Tl^+1,ClO4^-1,-1.0,0.0,-185.0,1.792e-05,99.45060000000001,5.0,2.0,3.38,1.67,1.75,-0.058,1.0,0.0,-362.0,1.989e-05,204.3833,1.0,1.0,3.3,1.64,1.96,-0.036,4.0,502.7351,16.0,3.0,1.96,-0.09359,0.03334
Tl(NO2)3(aq),Tl^+1,NO2^-1,-1.0,0.0,-340.0,1.912e-05,46.0055,3.0,2.0,3.35,1.67,1.55,-0.005,1.0,0.0,-362.0,1.989e-05,204.3833,1.0,1.0,3.3,1.64,1.96,-0.036,2.0,342.39979999999997,10.0,3.0,1.96,-0.6455,-0.1248
Tl(NO3)3(aq),Tl^+1,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,1.0,0.0,-362.0,1.989e-05,204.3833,1.0,1.0,3.3,1.64,1.96,-0.036,3.0,390.39799999999997,13.0,3.0,1.96,-0.1307,-0.2724
TlH9(CO)6(aq),Tl^+1,CH3COO^-1,-1.0,0.0,-330.0,1.902e-05,59.04402,7.0,3.0,3.35,1.67,1.7,-0.005,1.0,0.0,-362.0,1.989e-05,204.3833,1.0,1.0,3.3,1.64,1.96,-0.036,9.0,381.51536,22.0,4.0,1.96,0.005551,0.04775
U(ClO)2(aq),UO2^+1,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,1.0,0.0,-533.0,1.334e-05,270.02771,3.0,2.0,3.58,1.16,2.41,0.085,2.0,340.93371,5.0,3.0,2.41,0.4116,1.663
U(ClO5)2(aq),,,-1.0,0.0,-300.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.75,-0.005,1.0,0.0,-533.0,1.334e-05,53.4670725,1.0,1.0,3.58,1.16,2.27,0.085,5.0,468.92891000000003,13.0,3.0,2.41,0.6563,1.903
U(NO4)2(aq),,,-1.0,0.0,-300.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.75,-0.005,1.0,0.0,-533.0,1.334e-05,53.4670725,1.0,1.0,3.58,1.16,2.27,0.085,4.0,394.03751,11.0,3.0,2.41,0.4735,1.539
USO6(aq),,,-1.0,0.0,-300.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.75,-0.005,1.0,0.0,-533.0,1.334e-05,53.4670725,1.0,1.0,3.58,1.16,2.27,0.085,6.0,366.09031,8.0,3.0,2.41,0.3168,1.861
YCl3(aq),Y^+3,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,3.0,0.0,-3523.0,5.5e-06,88.90585,1.0,1.0,3.58,1.04,2.32,0.085,3.0,195.26485000000002,4.0,2.0,2.32,0.6248,5.66
YNO3(aq),Y^+3,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,3.0,0.0,-3523.0,5.5e-06,88.90585,1.0,1.0,3.58,1.04,2.32,0.085,3.0,150.91075,5.0,3.0,2.32,0.6582,4.58
Zn(ClO4)2(aq),Zn^+2,ClO4^-1,-1.0,0.0,-185.0,1.792e-05,99.45060000000001,5.0,2.0,3.38,1.67,1.75,-0.058,2.0,0.0,-2043.0,7.03e-06,65.409,1.0,1.0,4.3,0.88,2.01,0.369,4.0,264.3102,11.0,3.0,2.01,0.5197,1.731
Zn(NO3)2(aq),Zn^+2,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,2.0,0.0,-2043.0,7.03e-06,65.409,1.0,1.0,4.3,0.88,2.01,0.369,3.0,189.4188,9.0,3.0,2.01,0.3248,1.864
ZnBr2(aq),Zn^+2,Br^-1,-1.0,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.82,1.85,-0.033,2.0,0.0,-2043.0,7.03e-06,65.409,1.0,1.0,4.3,0.88,2.01,0.369,2.0,225.21699999999998,3.0,2.0,2.01,0.4122,1.926
ZnCl2(aq),Zn^+2,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,2.0,0.0,-2043.0,7.03e-06,65.409,1.0,1.0,4.3,0.88,2.01,0.369,2.0,136.315,3.0,2.0,2.01,0.1872,1.766
ZnI2(aq),Zn^+2,I^-1,-1.0,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,2.06,1.98,-0.073,2.0,0.0,-2043.0,7.03e-06,65.409,1.0,1.0,4.3,0.88,2.01,0.369,2.0,319.21794,3.0,2.0,2.01,0.526,2.317
ZnSO4(aq),Zn^+2,SO4^-2,-2.0,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.7,1.8,0.206,2.0,0.0,-2043.0,7.03e-06,65.409,1.0,1.0,4.3,0.88,2.01,0.369,4.0,161.4716,6.0,3.0,2.01,0.1991,2.63
