molecule,cation,anion,anion_1_charge,anion_1_delta_G_formation,anion_1_delta_G_hydration,anion_1_diffusion_coefficient,anion_1_molecular_weight,anion_1_n_atoms,anion_1_n_elements,anion_1_radius_hydrated,anion_1_radius_ionic,anion_1_radius_vdw,anion_1_viscosity_jones_dole,cation_1_charge,cation_1_delta_G_formation,cation_1_delta_G_hydration,cation_1_diffusion_coefficient,cation_1_molecular_weight,cation_1_n_atoms,cation_1_n_elements,cation_1_radius_hydrated,cation_1_radius_ionic,cation_1_radius_vdw,cation_1_viscosity_jones_dole,molecule_formula,molecule_molecular_weight,molecule_n_atoms,molecule_n_elements,molecule_radius_vdw,pitzer_Beta0,pitzer_Beta1
CuSO4(aq),Cu^+1,SO4^-2,-2.0,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.7,1.8,0.206,1.0,0.0,-586.0,1.334e-05,63.546,1.0,1.0,3.58,0.91,1.96,0.085,4.0,159.6086,6.0,3.0,1.96,0.2281,2.505
Eu(NO3)3(aq),Eu^+2,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,2.0,0.0,-1473.0,1.334e-05,151.964,1.0,1.0,3.58,1.31,2.35,0.085,3.0,337.9787,13.0,3.0,2.35,0.4777,4.706
EuCl3(aq),Eu^+2,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,2.0,0.0,-1473.0,1.334e-05,151.964,1.0,1.0,3.58,1.31,2.35,0.085,3.0,258.323,4.0,2.0,2.35,0.6048,5.322
FeCl2(aq),Fe^+2,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,2.0,0.0,-1928.0,7.19e-06,55.845,1.0,1.0,4.28,0.92,2.04,0.412,2.0,126.751,3.0,2.0,2.04,0.3516,1.432
FeCl3(aq),Fe^+2,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,2.0,0.0,-1928.0,7.19e-06,55.845,1.0,1.0,4.28,0.92,2.04,0.412,3.0,162.204,4.0,2.0,2.04,0.5516,5.488
GdCl3(aq),Gd^+3,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,3.0,0.0,-3500.0,5.97e-06,157.25,1.0,1.0,3.58,1.075,2.34,0.64,3.0,263.60900000000004,4.0,2.0,2.34,0.6129,5.359
H4BrN(aq),NH4^+1,Br^-1,-1.0,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.82,1.85,-0.033,1.0,0.0,-345.0,1.957e-05,18.03846,5.0,2.0,3.31,1.16,1.55,-0.008,4.0,97.94246,6.0,3.0,1.55,0.05921,0.2153
H4IN(aq),NH4^+1,I^-1,-1.0,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,2.06,1.98,-0.073,1.0,0.0,-345.0,1.957e-05,18.03846,5.0,2.0,3.31,1.16,1.55,-0.008,4.0,144.94293,6.0,3.0,1.55,0.05671,0.2893
NH4NO3(aq),,,-1.0,0.0,-300.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.75,-0.005,1.0,0.0,-533.0,1.334e-05,53.4670725,1.0,1.0,3.58,1.16,2.27,0.085,4.0,80.04336,9.0,3.0,1.55,-0.01709,0.09198
NH4Cl(aq),NH4^+1,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,1.0,0.0,-345.0,1.957e-05,18.03846,5.0,2.0,3.31,1.16,1.55,-0.008,4.0,53.491460000000004,6.0,3.0,1.55,0.05094,0.2068
NH4ClO4(aq),NH4^+1,ClO4^-1,-1.0,0.0,-185.0,1.792e-05,99.45060000000001,5.0,2.0,3.38,1.67,1.75,-0.058,1.0,0.0,-345.0,1.957e-05,18.03846,5.0,2.0,3.31,1.16,1.55,-0.008,4.0,117.48906,10.0,4.0,1.55,0.005579,-0.1015
(NH4)2SO4(aq),NH4^+1,SO4^-2,-2.0,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.7,1.8,0.206,1.0,0.0,-345.0,1.957e-05,18.03846,5.0,2.0,3.31,1.16,1.55,-0.008,4.0,132.13952,15.0,4.0,1.55,0.04211,0.582
HBr(aq),H^+1,Br^-1,-1.0,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.82,1.85,-0.033,1.0,0.0,-1108.0,9.311e-05,1.00794,1.0,1.0,3.58,1.16,1.1,0.068,3.0,80.91194,2.0,2.0,1.1,0.2093,0.3401
HCl(aq),H^+1,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,1.0,0.0,-1108.0,9.311e-05,1.00794,1.0,1.0,3.58,1.16,1.1,0.068,3.0,36.46094,2.0,2.0,1.1,0.1876,0.2501
HClO4(aq),H^+1,ClO4^-1,-1.0,0.0,-185.0,1.792e-05,99.45060000000001,5.0,2.0,3.38,1.67,1.75,-0.058,1.0,0.0,-1108.0,9.311e-05,1.00794,1.0,1.0,3.58,1.16,1.1,0.068,4.0,100.45854,6.0,3.0,1.1,0.1813,0.276
HI(aq),H^+1,I^-1,-1.0,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,2.06,1.98,-0.073,1.0,0.0,-1108.0,9.311e-05,1.00794,1.0,1.0,3.58,1.16,1.1,0.068,3.0,127.91241000000001,2.0,2.0,1.1,0.2242,0.4685
HNO3(aq),H^+1,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,1.0,0.0,-1108.0,9.311e-05,1.00794,1.0,1.0,3.58,1.16,1.1,0.068,3.0,63.01284,5.0,3.0,1.1,0.111,0.3805
K2CO3(aq),K^+1,CO3^-2,-2.0,0.0,-1236.0,9.23e-06,60.0089,4.0,2.0,3.94,1.67,1.7,0.294,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,2.0,138.2055,6.0,3.0,2.75,0.1305,1.606
K2HPO4(aq),K^+1,HPO4^-2,-2.0,0.0,-1278.0,7.59e-06,95.979302,6.0,3.0,3.35,1.67,1.1,-0.005,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,2.0,174.175902,8.0,4.0,2.75,0.043,1.147
K2SO4(aq),K^+1,SO4^-2,-2.0,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.7,1.8,0.206,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,2.0,174.2592,7.0,3.0,2.75,0.07424,0.5188
K3Fe(CN)6(aq),K^+1,Fe(CN)6^-3,-3.0,0.0,-2235.0,8.96e-06,211.9494,13.0,3.0,3.35,1.67,2.04,0.129,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,3.0,329.2443,16.0,4.0,2.75,0.3531,3.903
K3PO4(aq),K^+1,PO4^-3,-3.0,0.0,-2621.0,8.24e-06,94.971362,5.0,2.0,3.35,1.67,1.8,-0.005,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,3.0,212.266262,8.0,3.0,2.75,0.3422,5.452
K4Fe(CN)6(aq),K^+1,Fe(CN)6^-3,-3.0,0.0,-2235.0,8.96e-06,211.9494,13.0,3.0,3.35,1.67,2.04,0.129,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,4.0,368.34260000000006,17.0,4.0,2.75,0.6452,8.844
KBr(aq),K^+1,Br^-1,-1.0,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.82,1.85,-0.033,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,3.0,119.00229999999999,2.0,2.0,2.75,0.05517,0.2361
KBrO3(aq),K^+1,BrO3^-1,-1.0,0.0,-304.0,1.483e-05,127.9022,4.0,2.0,3.51,1.82,1.85,0.009,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,3.0,167.0005,5.0,3.0,2.75,-0.1132,0.2284
KSCN(aq),K^+1,SCN^-1,-1.0,0.0,-247.0,1.758e-05,58.0824,3.0,3.0,3.35,1.67,1.8,0.022,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,3.0,97.18069999999999,4.0,4.0,2.75,0.04159,0.2291
KCl(aq),K^+1,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,3.0,74.5513,2.0,2.0,2.75,0.04874,0.2215
KClO3(aq),K^+1,ClO3^-1,-1.0,0.0,-300.0,1.72e-05,83.4512,4.0,2.0,3.41,1.67,1.75,-0.022,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,3.0,122.5495,5.0,3.0,2.75,-0.09346,0.2435
KCrO4(aq),K^+1,CrO4^-2,-2.0,0.0,-868.0,1.132e-05,115.99369999999999,5.0,2.0,3.75,1.67,2.06,0.165,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,4.0,155.092,6.0,3.0,2.75,0.0758,1.177
KF(aq),K^+1,F^-1,-1.0,0.0,-425.0,1.475e-05,18.9984032,1.0,1.0,3.52,1.19,1.47,0.107,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,3.0,58.0967032,2.0,2.0,2.75,0.08286,0.2004
KH3(CO)2(aq),K^+1,CH3COO^-1,-1.0,0.0,-330.0,1.902e-05,59.04402,7.0,3.0,3.35,1.67,1.7,-0.005,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,3.0,98.14232,8.0,4.0,2.75,0.1556,0.3328
KHCO3(aq),K^+1,HCO3^-1,-1.0,0.0,-299.0,1.185e-05,61.016839999999995,5.0,3.0,3.35,1.67,1.1,-0.005,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,3.0,100.11514,6.0,4.0,2.75,-0.01558,0.07556
KI(aq),K^+1,I^-1,-1.0,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,2.06,1.98,-0.073,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,3.0,166.00277,2.0,2.0,2.75,0.06468,0.3112
KNO2(aq),K^+1,NO2^-1,-1.0,0.0,-340.0,1.912e-05,46.0055,3.0,2.0,3.35,1.67,1.55,-0.005,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,2.0,85.1038,4.0,3.0,2.75,0.01526,0.007462
KNO3(aq),K^+1,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,3.0,101.1032,5.0,3.0,2.75,-0.07733,0.04925
KOH(aq),K^+1,OH^-1,-1.0,0.0,-428.0,5.273e-05,17.00734,2.0,2.0,3.0,1.67,1.52,0.122,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,3.0,56.10564,3.0,3.0,2.75,0.1611,0.137
KH2PO4(aq),K^+1,H2PO4^-1,-1.0,0.0,-300.0,9.59e-06,96.98724200000001,7.0,3.0,3.35,1.67,1.1,-0.005,1.0,0.0,-356.0,1.957e-05,39.0983,1.0,1.0,3.31,1.52,2.75,-0.009,2.0,136.085542,8.0,4.0,2.75,-0.1231,0.09124
La(NO3)3(aq),La^+3,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,3.0,0.0,-3277.0,6.19e-06,138.90547,1.0,1.0,4.52,1.172,2.43,0.576,3.0,324.92017,13.0,3.0,2.43,0.4915,4.99
LaCl3(aq),La^+3,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,3.0,0.0,-3277.0,6.19e-06,138.90547,1.0,1.0,4.52,1.172,2.43,0.576,3.0,245.26447000000002,4.0,2.0,2.43,0.593,5.277
Li2SO4(aq),Li^+1,SO4^-2,-2.0,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.7,1.8,0.206,1.0,0.0,-533.0,1.029e-05,6.941,1.0,1.0,3.82,0.9,1.82,0.146,2.0,109.9446,7.0,3.0,1.82,0.1408,1.184
LiBr(aq),Li^+1,Br^-1,-1.0,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.82,1.85,-0.033,1.0,0.0,-533.0,1.029e-05,6.941,1.0,1.0,3.82,0.9,1.82,0.146,3.0,86.845,2.0,2.0,1.82,0.1842,0.2363
LiCl(aq),Li^+1,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,1.0,0.0,-533.0,1.029e-05,6.941,1.0,1.0,3.82,0.9,1.82,0.146,3.0,42.394000000000005,2.0,2.0,1.82,0.1516,0.2975
LiClO4(aq),Li^+1,ClO4^-1,-1.0,0.0,-185.0,1.792e-05,99.45060000000001,5.0,2.0,3.38,1.67,1.75,-0.058,1.0,0.0,-533.0,1.029e-05,6.941,1.0,1.0,3.82,0.9,1.82,0.146,4.0,106.39160000000001,6.0,3.0,1.82,0.1966,0.4182
LiH3(CO)2(aq),Li^+1,CH3COO^-1,-1.0,0.0,-330.0,1.902e-05,59.04402,7.0,3.0,3.35,1.67,1.7,-0.005,1.0,0.0,-533.0,1.029e-05,6.941,1.0,1.0,3.82,0.9,1.82,0.146,3.0,65.98501999999999,8.0,4.0,1.82,0.1081,0.257
LiI(aq),Li^+1,I^-1,-1.0,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,2.06,1.98,-0.073,1.0,0.0,-533.0,1.029e-05,6.941,1.0,1.0,3.82,0.9,1.82,0.146,3.0,133.84547,2.0,2.0,1.82,0.1903,0.478
LiNO2(aq),Li^+1,NO2^-1,-1.0,0.0,-340.0,1.912e-05,46.0055,3.0,2.0,3.35,1.67,1.55,-0.005,1.0,0.0,-533.0,1.029e-05,6.941,1.0,1.0,3.82,0.9,1.82,0.146,2.0,52.9465,4.0,3.0,1.82,0.1283,0.382
LiNO3(aq),Li^+1,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,1.0,0.0,-533.0,1.029e-05,6.941,1.0,1.0,3.82,0.9,1.82,0.146,3.0,68.9459,5.0,3.0,1.82,0.1343,0.3339
LiOH(aq),Li^+1,OH^-1,-1.0,0.0,-428.0,5.273e-05,17.00734,2.0,2.0,3.0,1.67,1.52,0.122,1.0,0.0,-533.0,1.029e-05,6.941,1.0,1.0,3.82,0.9,1.82,0.146,3.0,23.94834,3.0,3.0,1.82,0.04217,-0.08799
Mg(ClO4)2(aq),Mg^+2,ClO4^-1,-1.0,0.0,-185.0,1.792e-05,99.45060000000001,5.0,2.0,3.38,1.67,1.75,-0.058,2.0,0.0,-1918.0,7.06e-06,24.305,1.0,1.0,4.28,0.86,1.73,0.385,4.0,223.20620000000002,11.0,3.0,1.73,0.4956,2.097
Mg(NO3)2(aq),Mg^+2,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,2.0,0.0,-1918.0,7.06e-06,24.305,1.0,1.0,4.28,0.86,1.73,0.385,3.0,148.3148,9.0,3.0,1.73,0.3405,1.672
MgBr2(aq),Mg^+2,Br^-1,-1.0,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.82,1.85,-0.033,2.0,0.0,-1918.0,7.06e-06,24.305,1.0,1.0,4.28,0.86,1.73,0.385,2.0,184.113,3.0,2.0,1.73,0.4368,1.73
MgCl2(aq),Mg^+2,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,2.0,0.0,-1918.0,7.06e-06,24.305,1.0,1.0,4.28,0.86,1.73,0.385,2.0,95.21100000000001,3.0,2.0,1.73,0.3553,1.644
MgH6(CO)4(aq),Mg^+2,CH3COO^-1,-1.0,0.0,-330.0,1.902e-05,59.04402,7.0,3.0,3.35,1.67,1.7,-0.005,2.0,0.0,-1918.0,7.06e-06,24.305,1.0,1.0,4.28,0.86,1.73,0.385,6.0,142.39304,15.0,4.0,1.73,0.21,0.9347
MgI2(aq),Mg^+2,I^-1,-1.0,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,2.06,1.98,-0.073,2.0,0.0,-1918.0,7.06e-06,24.305,1.0,1.0,4.28,0.86,1.73,0.385,2.0,278.11394,3.0,2.0,1.73,0.4944,1.834
MgSO4(aq),Mg^+2,SO4^-2,-2.0,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.7,1.8,0.206,2.0,0.0,-1918.0,7.06e-06,24.305,1.0,1.0,4.28,0.86,1.73,0.385,4.0,120.3676,6.0,3.0,1.73,0.2153,3.29
MnCl2(aq),Mn^+2,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,2.0,0.0,-1848.0,7.12e-06,54.938045,1.0,1.0,4.38,0.97,2.05,0.388,2.0,125.84404500000001,3.0,2.0,2.05,0.3268,1.524
MnSO4(aq),Mn^+2,SO4^-2,-2.0,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.7,1.8,0.206,2.0,0.0,-1848.0,7.12e-06,54.938045,1.0,1.0,4.38,0.97,2.05,0.388,4.0,151.000645,6.0,3.0,2.05,0.2139,2.875
Na2CO3(aq),Na^+1,CO3^-2,-2.0,0.0,-1236.0,9.23e-06,60.0089,4.0,2.0,3.94,1.67,1.7,0.294,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,2.0,105.98843855999999,6.0,3.0,2.27,0.04625,1.264
Na2HPO4(aq),Na^+1,HPO4^-2,-2.0,0.0,-1278.0,7.59e-06,95.979302,6.0,3.0,3.35,1.67,1.1,-0.005,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,2.0,141.95884056,8.0,4.0,2.27,-0.02266,1.249
Na2S2O3(aq),Na^+1,S2O3^-2,-2.0,0.0,-300.0,1.132e-05,112.12819999999999,5.0,2.0,3.35,1.7,1.8,-0.005,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,2.0,158.10773856,7.0,3.0,2.27,0.06306,1.254
Na2SO4(aq),Na^+1,SO4^-2,-2.0,0.0,-887.0,1.065e-05,96.0626,5.0,2.0,3.79,1.7,1.8,0.206,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,2.0,142.04213856,7.0,3.0,2.27,0.01959,1.049
Na3PO4(aq),Na^+1,PO4^-3,-3.0,0.0,-2621.0,8.24e-06,94.971362,5.0,2.0,3.35,1.67,1.8,-0.005,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,3.0,163.94066984,8.0,3.0,2.27,0.139,5.419
NaBr(aq),Na^+1,Br^-1,-1.0,0.0,-274.0,2.08e-05,79.904,1.0,1.0,3.3,1.82,1.85,-0.033,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,3.0,102.89376928,2.0,2.0,2.27,0.1083,0.239
NaBrO3(aq),Na^+1,BrO3^-1,-1.0,0.0,-304.0,1.483e-05,127.9022,4.0,2.0,3.51,1.82,1.85,0.009,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,3.0,150.89196928,5.0,3.0,2.27,-0.02574,0.2161
NaSCN(aq),Na^+1,SCN^-1,-1.0,0.0,-247.0,1.758e-05,58.0824,3.0,3.0,3.35,1.67,1.8,0.022,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,3.0,81.07216928,4.0,4.0,2.27,0.1048,0.3242
NaCl(aq),Na^+1,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,3.0,58.44276928000001,2.0,2.0,2.27,0.07831,0.2677
NaClO4(aq),Na^+1,ClO4^-1,-1.0,0.0,-185.0,1.792e-05,99.45060000000001,5.0,2.0,3.38,1.67,1.75,-0.058,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,4.0,122.44036928,6.0,3.0,2.27,0.0185,0.286
NaCrO4(aq),Na^+1,CrO4^-2,-2.0,0.0,-868.0,1.132e-05,115.99369999999999,5.0,2.0,3.75,1.67,2.06,0.165,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,4.0,138.98346928,6.0,3.0,2.27,0.06437,1.544
NaF(aq),Na^+1,F^-1,-1.0,0.0,-425.0,1.475e-05,18.9984032,1.0,1.0,3.52,1.19,1.47,0.107,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,3.0,41.98817248,2.0,2.0,2.27,0.02109,0.2183
NaF(aq),Na^+1,F^-1,-1.0,0.0,-425.0,1.475e-05,18.9984032,1.0,1.0,3.52,1.19,1.47,0.107,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,3.0,41.98817248,2.0,2.0,2.27,0.02109,0.2183
NaH3(CO)2(aq),Na^+1,CH3COO^-1,-1.0,0.0,-330.0,1.902e-05,59.04402,7.0,3.0,3.35,1.67,1.7,-0.005,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,3.0,82.03378928000001,8.0,4.0,2.27,0.1382,0.3317
NaH5C3O2(aq),Na^+1,,-1.0,0.0,-300.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.75,-0.005,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,5.0,96.06036928,11.0,4.0,2.27,0.1799,0.3169
NaHCO2(aq),Na^+1,HCO2^-1,-1.0,0.0,-351.0,1.454e-05,45.01744,4.0,3.0,3.35,1.67,1.1,-0.005,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,2.0,68.00720928,5.0,4.0,2.27,0.07486,0.3067
NaHCO3(aq),Na^+1,HCO3^-1,-1.0,0.0,-299.0,1.185e-05,61.016839999999995,5.0,3.0,3.35,1.67,1.1,-0.005,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,3.0,84.00660927999999,6.0,4.0,2.27,-0.05876,0.5535
NaI(aq),Na^+1,I^-1,-1.0,0.0,-236.0,2.045e-05,126.90447,1.0,1.0,3.31,2.06,1.98,-0.073,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,3.0,149.89423928,2.0,2.0,2.27,0.1261,0.317
NaNO2(aq),Na^+1,NO2^-1,-1.0,0.0,-340.0,1.912e-05,46.0055,3.0,2.0,3.35,1.67,1.55,-0.005,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,2.0,68.99526928,4.0,3.0,2.27,0.05978,0.144
NaNO3(aq),Na^+1,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,3.0,84.99466928,5.0,3.0,2.27,0.003614,0.2062
NaOH(aq),Na^+1,OH^-1,-1.0,0.0,-428.0,5.273e-05,17.00734,2.0,2.0,3.0,1.67,1.52,0.122,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,3.0,39.99710928,3.0,3.0,2.27,0.09226,0.2424
NaH2PO4(aq),Na^+1,H2PO4^-1,-1.0,0.0,-300.0,9.59e-06,96.98724200000001,7.0,3.0,3.35,1.67,1.1,-0.005,1.0,0.0,-427.0,1.334e-05,22.98976928,1.0,1.0,3.58,1.16,2.27,0.085,2.0,119.97701128,8.0,4.0,2.27,-0.05135,0.05496
Nd(NO3)3(aq),Nd^+2,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,2.0,0.0,-1448.0,1.334e-05,144.242,1.0,1.0,3.58,1.43,2.39,0.085,3.0,330.25669999999997,13.0,3.0,2.39,0.4434,4.915
NdCl3(aq),Nd^+2,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,2.0,0.0,-1448.0,1.334e-05,144.242,1.0,1.0,3.58,1.43,2.39,0.085,3.0,250.601,4.0,2.0,2.39,0.5877,5.206
Ni(NO3)2(aq),Ni^+2,NO3^-1,-1.0,0.0,-242.0,1.902e-05,62.0049,4.0,2.0,3.35,1.67,1.55,-0.043,2.0,0.0,-2068.0,6.61e-06,58.6934,1.0,1.0,4.04,0.83,1.97,0.379,3.0,182.70319999999998,9.0,3.0,1.97,0.315,2.195
NiCl2(aq),Ni^+2,Cl^-1,-1.0,0.0,-300.0,2.032e-05,35.453,1.0,1.0,3.32,1.67,1.75,-0.005,2.0,0.0,-2068.0,6.61e-06,58.6934,1.0,1.0,4.04,0.83,1.97,0.379,2.0,129.5994,3.0,2.0,1.97,0.3692,1.441
