electrolyte,electrolyte_type,B_MX_0_simplified,B_MX_1_simplified,std_dev_simplified,ref_simplified,max_molality_simplified,B_MX_0_original,B_MX_1_original,B_MX_2_original,C_MX_phi_original,std_dev_original,ref_original,max_molality_original,r_M_angstrom,r_X_angstrom,cation_type,anion_type
NaNO2,1-1,0.0478,0.1776,0.003,39,3.00,0.0641,0.1015,0.00,-0.0049,0.005,9,5.00,1.02,1.92,c,c
NaNO3,1-1,0.0036,0.1978,0.001,28,6.00,0.0068,0.1783,0.00,-0.0007,0.001,9,6.00,1.02,1.79,c,c
NaOH,1-1,0.1080,0.1927,0.009,28,6.00,0.0864,0.2530,0.00,0.0044,,-,9,6.00,1.02,1.33,c,k
NaSCN,1-1,0.0952,0.3609,0.004,28,7.00,0.1005,0.3582,0.00,-0.00303,0.001,9,4.00,1.02,2.13,c,c
NH4Br,1-1,0.0505,0.2350,0.001,21,2.50,0.0624,0.1947,0.00,-0.0044,0.001,9,2.50,1.48,1.96,c,c
NH4Cl,1-1,0.0399,0.2661,0.002,28,4.00,0.0522,0.1918,0.00,-0.0030,0.001,9,6.00,1.48,1.81,c,c
NH4ClO4,1-1,-0.0064,-0.0648,0.005,40,2.10,-0.0103,-0.0194,0.00,0.0000,0.004,10,2.00,1.48,2.25,c,c
NH4H2PO4,1-1,-0.0455,-0.5631,0.009,41,3.50,-0.0704,-0.4156,0.00,0.0067,0.003,10,3.50,1.48,2.38,c,c
NH4I,1-1,0.0463,0.3583,0.004,22,4.00,0.0570,0.3157,0.00,-0.0031,0.002,10,7.50,1.48,2.2,c,c
NH4NO3,1-1,-0.0140,0.0895,0.004,28,11.00,-0.0154,0.1120,0.00,0.0000,0.001,10,6.00,1.48,1.79,c,c
NH4SCN,1-1,0.0174,0.3320,0.004,23,5.00,0.0245,0.2615,0.00,-0.0013,0.001,23,8.00,1.48,2.13,c,c
RbBr,1-1,0.0331,0.2057,0.002,28,5.00,0.0396,0.1530,0.00,-0.0014,0.001,9,5.00,1.49,1.96,c,c
RbCl,1-1,0.0382,0.1827,0.003,28,6.00,0.0441,0.1483,0.00,-0.0010,0.001,9,5.00,1.49,1.81,c,c
RbF,1-1,0.0834,0.4198,0.005,28,2.50,0.1141,0.2842,0.00,-0.0105,0.002,9,3.50,1.49,1.33,c,k
RbI,1-1,0.0346,0.1786,0.002,28,5.00,0.0397,0.1330,0.00,-0.0011,0.001,9,5.00,1.49,2.2,c,c
RbNO2,1-1,0.0054,0.0557,0.002,39,6.00,0.0269,-0.1553,0.00,-0.0037,0.002,9,5.00,1.49,1.92,c,c
RbNO3,1-1,-0.0629,-0.0909,0.005,28,3.00,-0.0789,-0.0172,0.00,0.0053,0.001,9,4.50,1.49,1.79,c,c
(NH4)2SO4,1-2,0.0349,0.6801,0.007,17,5.00,0.0409,0.6585,0.00,-0.0012,0.004,9,5.50,1.48,2.4,c,c
K2SO4,1-2,0.0481,0.8619,0.006,17,0.80,0.0500,0.7793,0.00,0.0000,0.002,9,0.70,1.38,2.4,c,c
Li2SO4,1-2,0.1231,1.4417,0.008,17,3.00,0.1363,1.2705,0.00,-0.0040,0.002,9,3.00,0.69,2.4,k,c
Na2SO4,1-2,0.0366,0.9084,0.007,17,3.00,0.0196,1.1130,0.00,0.0050,0.003,9,4.00,1.02,2.4,c,c
Ba(ClO4)2,2-1,0.2960,1.8167,0.015,12,1.60,0.3614,1.5758,0.00,-0.0313,0.003,9,2.00,1.36,2.25,k,c
BaBr2,2-1,0.2716,2.0187,0.013,26,2.30,0.3146,1.5698,0.00,-0.0160,0.001,9,2.00,1.36,1.96,k,c
BaCl2,2-1,0.2246,1.7213,0.014,26,1.79,0.2628,1.4963,0.00,-0.0194,0.001,9,1.79,1.36,1.81,k,c
BaI2,2-1,0.3861,1.9611,0.011,26,2.00,0.4219,1.6868,0.00,-0.0174,0.003,9,1.80,1.36,2.2,k,c
Ca(ClO4)2,2-1,0.4273,1.9530,0.029,12,5.00,0.4511,1.7565,0.00,-0.0050,0.005,9,2.00,1,2.25,k,c
CaBr2,2-1,0.3795,1.7029,0.012,26,3.25,0.3816,1.6133,0.00,-0.0026,0.002,9,2.00,1,1.96,k,c
CaCl2,2-1,0.3118,1.7044,0.024,26,6.00,0.3159,1.6140,0.00,-0.0003,0.003,9,2.50,1,1.81,k,c
CaI2,2-1,0.4357,1.8225,0.002,26,1.90,0.4379,1.8068,0.00,-0.0008,0.001,9,2.00,1,2.2,k,c
Co(ClO4)2,2-1,0.5493,1.6522,0.035,27,3.50,0.5303,1.9643,0.00,0.0076,0.015,this study,3.50,0.75,2.25,k,c
Co(NO3)2,2-1,0.2815,1.7480,0.020,27,3.25,0.3119,1.6905,0.00,-0.0076,0.003,9,5.50,0.75,1.79,k,c
CoBr2,2-1,0.3986,1.9156,0.021,27,3.75,0.4270,1.6598,0.00,-0.0007,0.002,9,2.00,0.75,1.96,k,c
CoCl2,2-1,0.3113,1.7699,0.020,27,3.00,0.3643,1.4753,0.00,-0.0152,0.004,9,3.00,0.75,1.81,k,c
CoI2,2-1,0.5108,1.7666,0.028,27,4.25,0.5213,1.6725,0.00,-0.0047,0.010,9,2.00,0.75,2.2,k,c
Cu(ClO4)2,2-1,0.5138,1.8475,0.029,24,3.50,0.5076,1.8749,0.00,0.0044,0.010,this study,3.50,0.73,2.25,k,c
Cu(NO3)2,2-1,0.2477,1.8031,0.022,24,3.50,0.3168,1.4303,0.00,-0.0219,0.002,9,2.00,0.73,1.79,k,c
CuBr2,2-1,0.3408,1.9977,0.009,24,1.25,0.3616,1.8575,0.00,-0.00902,0.007,this study,1.25,0.73,1.96,k,c
