m (mol/kg),gamma,Osmotic NH42HPO4,a_water,Beta(0) ,Beta(1),Beta(2),C(MX)
0.040,0.6195,0.8830,0.998093,,,,
0.050,0.6020,0.8807,0.997623,,,,
0.060,0.5885,0.8798,0.997151,,,,
0.070,0.5777,0.8799,0.996677,,,,
0.080,0.5689,0.8805,0.996200,,,,
0.090,0.5616,0.8817,0.995720,,,,
0.100,0.5556,0.8832,0.995238,,,,
0.200,0.5287,0.9078,0.990236,,,,
0.300,0.5275,0.9372,0.984918,,,,
0.400,0.5361,0.9673,0.979305,,,,
0.500,0.5502,0.9973,0.973409,,,,
0.600,0.5682,1.0274,0.967234,,,,
0.700,0.5894,1.0577,0.960776,,,,
0.800,0.6138,1.0885,0.954028,,,,
0.900,0.6413,1.1200,0.946978,,,,
1.000,0.6720,1.1525,0.939614,,,,
1.250,0.7640,1.2378,0.919779,,,,
1.500,0.8800,1.3278,0.897947,,,,
1.750,1.0200,1.4181,0.874485,,,,
1.800,1.0504,1.4355,0.869663,,,,
,,,,,,,
Ammonium Decahydroborate,,,,,,,
m (mol/kg),gamma,Osmotic ,a_water,,,,
0.001,0.8867,0.9613,0.999948,,,,
0.002,0.8475,0.9475,0.999898,,,,
0.003,0.8199,0.9376,0.999848,,,,
0.004,0.7982,0.9298,0.999799,,,,
0.005,0.7801,0.9233,0.999751,,,,
0.006,0.7645,0.9176,0.999702,,,,
0.007,0.7508,0.9126,0.999655,,,,
0.008,0.7386,0.9082,0.999607,,,,
0.009,0.7275,0.9041,0.999560,,,,
0.010,0.7174,0.9004,0.999514,,,,
0.020,0.6465,0.8743,0.999055,,,,
0.030,0.6026,0.8582,0.998609,,,,
0.040,0.5711,0.8469,0.998171,,,,
0.050,0.5466,0.8383,0.997737,,,,
0.060,0.5268,0.8315,0.997307,,,,
0.070,0.5103,0.8260,0.996880,,,,
0.080,0.4961,0.8214,0.996455,,,,
0.090,0.4838,0.8175,0.996031,,,,
0.100,0.4730,0.8142,0.995609,,,,
0.200,0.4063,0.7975,0.991417,,,,
0.300,0.3720,0.7926,0.987231,,,,
0.400,0.3501,0.7917,0.983029,,,,
0.500,0.3346,0.7927,0.978807,,,,
0.600,0.3228,0.7945,0.974566,,,,
0.700,0.3135,0.7967,0.970309,,,,
0.800,0.3059,0.7991,0.966038,,,,
0.900,0.2995,0.8017,0.961757,,,,
1.000,0.2941,0.8042,0.957467,,,,
1.250,0.2834,0.8103,0.946730,,,,
1.500,0.2755,0.8158,0.936001,,,,
1.750,0.2691,0.8207,0.925318,,,,
2.000,0.2639,0.8247,0.914709,,,,
2.250,0.2595,0.8281,0.904203,,,,
2.500,0.2555,0.8307,0.893825,,,,
2.750,0.2519,0.8327,0.883595,,,,
3.000,0.2486,0.8339,0.873535,,,,
3.250,0.2455,0.8345,0.863664,,,,
3.500,0.2424,0.8343,0.853998,,,,
3.750,0.2395,0.8336,0.844554,,,,
